Programområdekode,Utdanningsprogram,Programområde,2022,2023,2024
DTTSK3,"Håndverk, design og produktutvikling",DTTSK3 - Treskjærerfaget,1.0,2.0,2.0
DTURM3,"Håndverk, design og produktutvikling",DTURM3 - Urmakerfaget,4.0,8.0,12.0
DTVHD3,"Håndverk, design og produktutvikling",DTVHD3 - Ull- og garnduodjifaget,,2.0,2.0
IM,Informasjonsteknologi og medieproduksjon,Alle programområder,696.0,1414.0,1585.0
IMIHP3,Informasjonsteknologi og medieproduksjon,IMIHP3 - Innholdsproduksjonsfaget,76.0,119.0,127.0
IMITD3,Informasjonsteknologi og medieproduksjon,IMITD3 - IT-driftsfaget,463.0,959.0,1075.0
IMIUV3,Informasjonsteknologi og medieproduksjon,IMIUV3 - IT-utviklerfaget,98.0,216.0,255.0
IMMDF3,Informasjonsteknologi og medieproduksjon,IMMDF3 - Mediedesignfaget,44.0,82.0,80.0
IMMET3,Informasjonsteknologi og medieproduksjon,IMMET3 - Medieteknikkfaget,15.0,38.0,48.0
,Naturbruk,Alle programområder,1641.0,1589.0,1644.0
NADYR3,Naturbruk,NADYR3 - Dyrefaget,48.0,75.0,94.0
NAFFA3,Naturbruk,NAFFA3 - Fiske og fangst,360.0,368.0,396.0
NAGAR3,Naturbruk,NAGAR3 - Gartnerfaget,24.0,36.0,41.0
NAHAV3,Naturbruk,NAHAV3 - Havbruksteknikkfaget,39.0,39.0,47.0
NAHOV3,Naturbruk,NAHOV3 - Hovslagerfaget,10.0,4.0,2.0
NAHST3,Naturbruk,NAHST3 - Hestefaget,153.0,163.0,170.0
NAHVS3,Naturbruk,NAHVS3 - Hovslagerfaget,7.0,16.0,14.0
NAIAN3,Naturbruk,NAIAN3 - Idrettsanleggsfaget,1.0,1.0,
NAREI3,Naturbruk,NAREI3 - Reindriftsfaget,31.0,31.0,41.0
NASKF3,Naturbruk,NASKF3 - Skogfaget,77.0,89.0,95.0
NAAGR3,Naturbruk,NAAGR3 - Landbruk,27.0,21.0,16.0
NAAKV3,Naturbruk,NAAKV3 - Akvakulturfaget,668.0,691.0,716.0
NAANG3,Naturbruk,NAANG3 - Anleggsgartnerfaget,196.0,55.0,12.0
RM,Restaurant- og matfag,Alle programområder,1934.0,1821.0,1821.0
RMBAK3,Restaurant- og matfag,RMBAK3 - Bakerfaget,111.0,106.0,98.0
RMBUT3,Restaurant- og matfag,RMBUT3 - Butikkslakterfaget,37.0,9.0,2.0
